id_police,age_conducteur,genre,ville,categorie_socioprofessionnelle,anciennete_permis_ans,marque_vehicule,age_vehicule_ans,puissance_fiscale_cv,usage_vehicule,km_annuels_estimes,formule_assurance,coefficient_bonus_malus,nb_sinistres_anterieurs,prime_annuelle_ttc_mad,sinistre_declare,montant_sinistre_mad
POL-00014,70,Homme,Marrakech,Independant,50.0,Volkswagen,17.0,6.0,Professionnel,30000.0,RC,0.93,0,1188.76,0,0.0
POL-00015,53,Femme,Casablanca,Employe,32.0,Toyota,12.0,7.0,Personnel,10000.0,Tiers_Etendu,0.73,0,1099.89,0,0.0
POL-00016,57,Homme,Casablanca,Commercant,38.0,Dacia,10.0,6.0,Personnel,10000.0,Tiers_Etendu,0.96,2,993.02,0,0.0
POL-00017,41,Homme,Casablanca,Employe,20.0,Renault,13.0,7.0,Personnel,30000.0,RC,0.87,2,865.15,1,9999999.0
POL-00018,20,Homme,Meknes,Cadre,0.0,Dacia,17.0,7.0,Professionnel,15000.0,Tous_Risques,0.51,0,1510.76,0,0.0
POL-00019,39,Homme,Casablanca,Commercant,21.0,Hyundai,18.0,5.0,Professionnel,20000.0,Tous_Risques,1.02,0,1547.67,1,0.0
POL-00020,70,Homme,Rabat,Cadre,48.0,Dacia,14.0,8.0,Domicile_Travail,15000.0,RC,0.77,0,923.84,0,0.0
POL-00021,19,Homme,Casablanca,Independant,0.0,Fiat,8.0,10.0,Personnel,10000.0,Tous_Risques,1.13,0,1430.89,0,0.0
POL-00022,41,Homme,Rabat,Employe,20.0,Volkswagen,7.0,6.0,Professionnel,20000.0,RC,0.83,1,1035.76,0,0.0
POL-00023,61,Homme,Casablanca,Cadre,39.0,Renault,19.0,8.0,Personnel,20000.0,Tous_Risques,1.14,1,1502.96,0,0.0
POL-00024,47,Homme,Marrakech,Commercant,27.0,Hyundai,0.0,8.0,Personnel,10000.0,Tiers_Etendu,0.93,2,912.55,0,0.0
POL-00025,55,Homme,Casablanca,Cadre,34.0,Ford,3.0,7.0,Personnel,,RC,1.04,0,814.94,0,0.0
POL-00026,19,Homme,Agadir,Employe,0.0,Hyundai,13.0,8.0,Personnel,25000.0,Tous_Risques,0.75,0,1304.53,0,0.0
POL-00027,38,Homme,Casablanca,Independant,16.0,Dacia,1.0,7.0,Domicile_Travail,20000.0,Tiers_Etendu,0.92,1,930.94,0,0.0
POL-00028,50,Femme,Marrakech,Cadre,31.0,Renault,15.0,7.0,Personnel,10000.0,Tous_Risques,,1,1265.61,0,0.0
POL-00029,29,Homme,Meknes,Etudiant,46.0,Volkswagen,2.0,4.0,Personnel,,RC,0.82,2,800.0,0,0.0
POL-00030,39,Femme,Fes,Cadre,21.0,Hyundai,7.0,8.0,Domicile_Travail,20000.0,RC,0.55,0,800.0,0,0.0
POL-00031,61,Homme,Marrakech,Employe,41.0,Hyundai,5.0,8.0,Domicile_Travail,25000.0,RC,0.62,0,909.85,0,0.0
POL-00032,42,Homme,Rabat,Independant,23.0,Ford,15.0,4.0,Domicile_Travail,20000.0,Tiers_Etendu,,0,944.72,0,0.0
POL-00033,66,Femme,marrakech,Employe,46.0,Ford,15.0,7.0,Personnel,,Tiers_Etendu,0.98,0,1190.71,0,0.0
POL-00034,44,Femme,Fes,Cadre,24.0,Ford,6.0,11.0,Domicile_Travail,20000.0,RC,,0,1002.09,0,0.0
POL-00035,59,Homme,Oujda,Employe,38.0,Dacia,12.0,7.0,Professionnel,,Tiers_Etendu,0.86,1,1277.33,0,0.0
POL-00036,45,Homme,Fes,Employe,27.0,Peugeot,12.0,7.0,Personnel,5000.0,Tiers_Etendu,0.82,0,1044.61,0,0.0
POL-00037,33,Femme,Marrakech,Etudiant,35.0,Toyota,,10.0,Domicile_Travail,15000.0,Tous_Risques,1.07,0,1190.81,0,0.0
POL-00038,32,Femme,Tanger,Employe,10.0,Toyota,19.0,8.0,Personnel,15000.0,Tiers_Etendu,0.85,1,1156.84,0,0.0
POL-00039,64,Homme,Rabat,Independant,42.0,Hyundai,17.0,8.0,Personnel,20000.0,Tous_Risques,0.9,0,1411.46,0,0.0
POL-00040,68,Homme,Casablanca,Etudiant,48.0,Dacia,14.0,9.0,Domicile_Travail,10000.0,Tiers_Etendu,0.74,2,1006.05,0,0.0
POL-00041,61,Homme,Marrakech,Employe,43.0,Volkswagen,17.0,9.0,Domicile_Travail,20000.0,Tiers_Etendu,1.08,0,1292.58,1,9999999.0
POL-00042,24,Homme,Oujda,Retraite,50.0,Toyota,1.0,7.0,Personnel,30000.0,RC,1.09,0,855.06,0,0.0
POL-00043,69,Homme,Casablanca,Employe,47.0,Dacia,9.0,7.0,Domicile_Travail,25000.0,RC,0.84,3,908.66,0,0.0
POL-00044,26,Homme,Fes,Retraite,50.0,Peugeot,12.0,7.0,Domicile_Travail,30000.0,RC,0.73,2,908.91,0,0.0
POL-00045,20,Homme,Casablanca,Cadre,0.0,Dacia,17.0,11.0,Professionnel,40000.0,Tiers_Etendu,0.53,0,1451.92,0,0.0
POL-00046,54,Femme,Marrakech,Independant,,Renault,14.0,8.0,Personnel,5000.0,RC,0.68,1,1014.28,0,0.0
POL-00047,68,Homme,Casablanca,Commercant,46.0,Dacia,11.0,5.0,Professionnel,20000.0,RC,0.5,0,969.81,0,0.0
POL-00048,24,Homme,Rabat,Employe,2.0,Peugeot,14.0,9.0,Personnel,15000.0,Tous_Risques,0.67,0,1330.84,1,9999999.0
POL-00049,38,Femme,Tanger,Commercant,19.0,Peugeot,,7.0,Domicile_Travail,25000.0,RC,0.92,0,929.27,0,0.0
POL-00050,26,Femme,Rabat,Independant,,Hyundai,17.0,5.0,Personnel,10000.0,RC,0.84,0,912.73,0,0.0
POL-00051,56,Homme,Fes,Cadre,38.0,Hyundai,14.0,7.0,Personnel,40000.0,RC,1.31,1,1069.23,0,0.0
POL-00052,35,Homme,Tanger,Cadre,14.0,Volkswagen,10.0,7.0,Domicile_Travail,20000.0,Tous_Risques,0.78,1,1269.88,0,0.0
POL-00053,21,Homme,Meknes,Independant,0.0,Dacia,,10.0,Personnel,25000.0,RC,0.76,3,1126.61,0,0.0
POL-00054,42,Homme,Casablanca,Independant,20.0,Dacia,2.0,6.0,Personnel,10000.0,Tiers_Etendu,1.06,1,918.95,0,0.0
POL-00055,21,Homme,Rabat,Retraite,13.0,Volkswagen,6.0,9.0,Personnel,10000.0,Tiers_Etendu,0.5,0,1016.2,0,0.0
POL-00056,67,Homme,Casablanca,Independant,46.0,Dacia,13.0,8.0,Domicile_Travail,25000.0,Tiers_Etendu,0.55,1,1015.41,0,0.0
POL-00057,25,Homme,Oujda,Retraite,8.0,Fiat,13.0,5.0,Personnel,5000.0,Tiers_Etendu,0.98,4,991.71,0,0.0
POL-00058,43,Homme,Meknes,Independant,25.0,Volkswagen,,11.0,Domicile_Travail,25000.0,Tous_Risques,0.81,1,1412.46,0,0.0
POL-00059,70,Homme,Marrakech,Employe,48.0,Peugeot,11.0,7.0,Personnel,5000.0,RC,0.82,1,849.79,0,0.0
POL-00060,19,Homme,Agadir,Cadre,1.0,Fiat,8.0,6.0,Personnel,20000.0,RC,0.66,2,804.81,1,9999999.0
POL-00061,37,Homme,Marrakech,Independant,18.0,Dacia,0.0,7.0,Personnel,15000.0,RC,0.9,0,800.0,0,0.0
POL-00062,45,Homme,Fes,Commercant,26.0,Renault,18.0,9.0,Personnel,20000.0,RC,0.69,1,1031.23,0,0.0
POL-00063,64,Homme,Casablanca,Cadre,44.0,Hyundai,10.0,6.0,Personnel,20000.0,RC,0.86,2,894.99,0,0.0
POL-00064,24,Femme,Tanger,Employe,2.0,Renault,18.0,6.0,Personnel,,RC,0.62,3,860.39,0,0.0
POL-00065,21,Homme,Casablanca,Retraite,41.0,Ford,17.0,5.0,Professionnel,,Tiers_Etendu,0.81,0,1268.56,0,0.0
POL-00066,25,Femme,Agadir,Commercant,6.0,Dacia,11.0,6.0,Domicile_Travail,5000.0,Tiers_Etendu,1.25,0,1081.33,0,0.0
POL-00067,64,Femme,Tanger,Employe,,Peugeot,0.0,9.0,Personnel,20000.0,RC,0.77,1,803.22,0,0.0
POL-00068,52,Homme,Fes,Employe,30.0,Hyundai,18.0,7.0,Personnel,20000.0,Tous_Risques,25.0,0,1374.36,0,0.0
POL-00069,31,Homme,Casablanca,Employe,9.0,Hyundai,19.0,6.0,Domicile_Travail,25000.0,RC,0.81,1,965.89,0,0.0
POL-00070,34,homme,Rabat,Employe,16.0,Renault,16.0,,Personnel,15000.0,RC,0.88,0,945.68,1,584.38
POL-00071,53,Homme,Casablanca,Employe,32.0,Renault,4.0,7.0,Personnel,15000.0,Tiers_Etendu,0.94,0,994.2,0,0.0
POL-00072,67,Femme,Rabat,Cadre,49.0,Volkswagen,2.0,10.0,Domicile_Travail,15000.0,RC,0.9,0,885.97,0,0.0
POL-00073,57,Homme,Casablanca,Independant,35.0,Dacia,1.0,7.0,Domicile_Travail,5000.0,RC,0.91,0,812.48,0,0.0
POL-00074,21,Homme,Meknes,Employe,2.0,Volkswagen,,12.0,Domicile_Travail,15000.0,RC,,0,1021.56,0,0.0
POL-00075,19,homme,Marrakech,Etudiant,45.0,Hyundai,7.0,7.0,Personnel,40000.0,Tous_Risques,0.87,0,1149.71,0,0.0
POL-00076,23,Homme,Rabat,Etudiant,52.0,Toyota,15.0,6.0,Personnel,30000.0,Tous_Risques,0.81,0,1346.35,1,3844.55
POL-00077,71,Homme,Rabat,Employe,49.0,Toyota,5.0,10.0,Domicile_Travail,15000.0,RC,0.5,0,809.83,0,0.0
POL-00078,59,Homme,Rabat,Commercant,40.0,Dacia,,7.0,Personnel,20000.0,Tous_Risques,1.38,0,1523.72,0,0.0
POL-00079,21,Homme,Marrakech,,0.0,Hyundai,15.0,8.0,Domicile_Travail,25000.0,Tous_Risques,1.0,0,1380.5,0,0.0
POL-00080,71,Femme,Marrakech,,50.0,Ford,15.0,12.0,Domicile_Travail,15000.0,Tiers_Etendu,0.65,0,1285.37,0,0.0
POL-00081,46,Homme,Meknes,Employe,24.0,Peugeot,2.0,5.0,Personnel,5000.0,Tous_Risques,0.9,1,0.0,0,0.0
POL-00082,35,Homme,Marrakech,Independant,15.0,Fiat,12.0,5.0,Professionnel,,RC,0.58,0,934.63,0,0.0
POL-00083,43,Homme,Oujda,Commercant,21.0,Peugeot,13.0,8.0,Domicile_Travail,20000.0,RC,0.75,0,943.63,0,0.0
POL-00084,61,Homme,Agadir,Employe,39.0,Dacia,7.0,6.0,Domicile_Travail,40000.0,Tiers_Etendu,0.55,1,932.0,0,0.0
POL-00085,51,Homme,Casablanca,Cadre,33.0,Renault,11.0,6.0,Personnel,20000.0,rc,0.84,0,990.89,1,1449.3
POL-00086,27,Homme,Meknes,Commercant,7.0,Fiat,7.0,4.0,Personnel,5000.0,Tiers_Etendu,0.53,3,800.0,0,0.0
POL-00087,53,Homme,Casablanca,Independant,32.0,Renault,8.0,4.0,Personnel,10000.0,Tiers_Etendu,0.93,1,851.33,0,0.0
POL-00088,31,Homme ,Agadir,Employe,13.0,Ford,0.0,9.0,Personnel,25000.0,Tous_Risques,,0,1285.38,0,0.0
POL-00089,48,Homme,Rabat,Commercant,27.0,Ford,5.0,5.0,Professionnel,25000.0,Tous_Risques,0.68,0,1204.96,0,0.0
POL-00090,65,Femme,Agadir,Employe,46.0,Renault,18.0,7.0,Personnel,,Tous_Risques,0.88,0,1424.0,0,0.0
POL-00091,32,Homme,Agadir,Independant,11.0,Dacia,10.0,8.0,Personnel,20000.0,Tous_Risques,0.67,0,1190.93,0,0.0
POL-00092,25,Homme,Agadir,Cadre,3.0,Toyota,10.0,7.0,Personnel,5000.0,Tous_Risques,0.95,0,1323.43,0,0.0
POL-00093,31,Homme,Tanger,Etudiant,39.0,Renault,12.0,4.0,Domicile_Travail,25000.0,RC,0.71,0,800.0,0,0.0
POL-00094,40,Femme,Rabat,Employe,22.0,Volkswagen,10.0,9.0,Personnel,25000.0,RC,1.01,1,1001.58,0,0.0
POL-00095,74,Homme,Casablanca,Employe,,Peugeot,17.0,4.0,Personnel,10000.0,Tiers_Etendu,0.5,0,878.29,1,3435.42
POL-00096,57,Homme,Rabat,Cadre,36.0,Peugeot,14.0,9.0,Personnel,20000.0,Tous_Risques,0.65,0,1282.35,0,0.0
POL-00097,38,Femme,Casablanca,Cadre,20.0,Volkswagen,0.0,10.0,Professionnel,10000.0,Tiers_Etendu,0.63,1,1105.71,0,0.0
POL-00098,33,Femme,Fes,Commercant,15.0,Renault,6.0,7.0,Personnel,5000.0,Tous_Risques,0.89,0,1240.26,0,0.0
POL-00099,62,Femme,Rabat,Employe,41.0,Peugeot,12.0,7.0,Professionnel,10000.0,RC,0.96,0,1156.01,0,0.0
POL-00100,35,Homme,Oujda,Etudiant,49.0,Renault,11.0,7.0,Domicile_Travail,10000.0,RC,0.91,0,862.24,0,0.0
POL-00101,64,Homme,Fes,Cadre,44.0,Renault,17.0,7.0,Personnel,15000.0,Tous_Risques,0.75,0,1297.39,0,0.0
POL-00102,70,Femme,Agadir,Employe,50.0,Peugeot,18.0,10.0,Domicile_Travail,15000.0,RC,0.5,3,1013.45,0,0.0
POL-00103,41,Femme,Casablanca,Employe,23.0,Volkswagen,14.0,10.0,Personnel,15000.0,RC,0.86,0,961.05,0,0.0
POL-00104,43, Homme,Agadir,Cadre,22.0,Renault,7.0,7.0,Professionnel,15000.0,RC,1.01,0,1078.17,0,0.0
POL-00105,42,Homme,Meknes,Cadre,24.0,Peugeot,18.0,8.0,Domicile_Travail,,RC,1.39,0,1243.16,0,0.0
POL-00106,62,Homme,Marrakech,Employe,40.0,Toyota,9.0,10.0,Personnel,5000.0,Tous_Risques,0.77,0,1309.12,0,0.0
POL-00107,58,Femme,Marrakech,Commercant,40.0,Renault,6.0,11.0,Personnel,20000.0,RC,0.72,0,958.72,0,0.0
POL-00108,46,Homme,Tanger,Employe,28.0,Renault,17.0,7.0,Personnel,15000.0,Tiers_Etendu,0.91,1,1182.23,0,0.0
POL-00109,32,Homme,Casablanca,Commercant,12.0,Ford,15.0,7.0,Professionnel,15000.0,RC,0.8,2,1127.87,0,0.0
POL-00110,62,Homme,Marrakech,Commercant,,Toyota,19.0,6.0,Personnel,25000.0,Tous_Risques,1.11,0,1444.54,0,0.0
POL-00111,18,Homme,Rabat,Cadre,,Hyundai,5.0,11.0,Domicile_Travail,,RC,0.69,0,994.87,0,0.0
POL-00112,42,Homme,Casablanca,Employe,22.0,Hyundai,8.0,5.0,Personnel,25000.0,Tiers_Etendu,0.8,1,833.81,1,2971.06
POL-00113,20,Homme,Rabat,Retraite,5.0,Dacia,12.0,8.0,Professionnel,15000.0,Tous_Risques,1.03,0,1541.76,1,2275.57
POL-00114,26,Homme,Casablanca,Commercant,6.0,Hyundai,7.0,6.0,Personnel,10000.0,RC,0.91,0,934.48,0,0.0
POL-00115,41,Homme,Casablanca,Independant,21.0,Peugeot,15.0,6.0,Domicile_Travail,20000.0,Tous_Risques,1.08,0,1347.53,0,0.0
POL-00116,18,Homme,Casablanca,Employe,0.0,Peugeot,12.0,7.0,Personnel,10000.0,Tiers_Etendu,0.76,0,1036.26,0,0.0
POL-00117,61,Homme,Oujda,Independant,43.0,Renault,12.0,12.0,Domicile_Travail,15000.0,RC,1.1,0,1177.1,1,2092.45
POL-00118,25,Homme,Marrakech,Independant,7.0,Dacia,16.0,5.0,Personnel,5000.0,RC,0.52,1,859.72,0,0.0
POL-00119,41,Homme,Oujda,Commercant,22.0,Dacia,19.0,8.0,Personnel,25000.0,Tous_Risques,0.53,1,1267.05,0,0.0
POL-00120,28,Homme,Rabat,,6.0,Fiat,4.0,5.0,Personnel,10000.0,Tous_Risques,1.11,0,1189.31,0,0.0
POL-00121,68,Homme,Rabat,Cadre,46.0,Peugeot,16.0,6.0,Domicile_Travail,30000.0,RC,0.85,0,921.16,1,1883.09
POL-00122,34,Homme,Marrakech,Cadre,12.0,Peugeot,8.0,7.0,Personnel,25000.0,RC,1.03,2,871.51,0,0.0
POL-00123,25,Homme,Rabat,Independant,6.0,Dacia,1.0,7.0,Domicile_Travail,15000.0,Tous_Risques,0.87,0,1094.44,0,0.0
POL-00124,52,Femme,Casablanca,Independant,30.0,Dacia,17.0,6.0,Personnel,25000.0,Tiers_Etendu,0.85,2,1097.68,0,0.0
POL-00125,52,Homme,Fes,Cadre,30.0,Toyota,8.0,6.0,Domicile_Travail,,Tous_Risques,0.58,0,1059.11,0,0.0
POL-00126,50,Femme,Casablanca,Employe,30.0,Peugeot,5.0,5.0,Professionnel,25000.0,RC,0.84,0,982.64,0,0.0
POL-00127,22,Homme,Fes,Cadre,4.0,Peugeot,10.0,6.0,Domicile_Travail,15000.0,Tous_Risques,1.12,0,1238.9,1,1223.02
POL-00128,59,Femme,Fes,Employe,41.0,Renault,5.0,11.0,Personnel,25000.0,RC,0.86,2,980.0,0,0.0
POL-00129,56,Femme,Casablanca,Independant,36.0,Toyota,5.0,10.0,Personnel,15000.0,RC,0.99,0,998.87,0,0.0
POL-00130,58,Homme,Casablanca,Commercant,38.0,Dacia,12.0,7.0,Personnel,30000.0,Tiers_Etendu,0.98,0,1110.49,0,0.0
POL-00131,45,Homme,Tanger,Employe,25.0,Dacia,10.0,8.0,Personnel,15000.0,Tous_Risques,0.65,0,1253.61,0,0.0
POL-00132,24,Homme,Rabat,Employe,6.0,Peugeot,13.0,10.0,Domicile_Travail,15000.0,RC,1.02,2,1079.32,0,0.0
POL-00133,26,homme,Casablanca,Cadre,4.0,Renault,1.0,4.0,Domicile_Travail,25000.0,Tiers_Etendu,0.79,2,800.0,0,0.0
POL-00134,25,Femme,Oujda,Employe,5.0,Renault,7.0,9.0,Professionnel,25000.0,Tiers_Etendu,0.8,4,1287.61,0,0.0
POL-00135,29,Femme,Casablanca,Commercant,10.0,Hyundai,2.0,10.0,Personnel,20000.0,Tiers_Etendu,1.27,3,1209.41,1,7026.42
POL-00136,51,Femme,Fes,Retraite,31.0,Hyundai,2.0,5.0,Domicile_Travail,10000.0,Tous_Risques,0.97,0,976.72,1,729.11
POL-00137,50,Homme,Oujda,Etudiant,29.0,Volkswagen,,6.0,Personnel,15000.0,Tous_Risques,0.72,0,1031.45,0,0.0
POL-00138,65,Femme,Casablanca,Cadre,45.0,Peugeot,18.0,11.0,Domicile_Travail,40000.0,RC,0.86,0,1213.06,1,908.61
POL-00139,72,Femme,Casablanca,Etudiant,50.0,Dacia,17.0,7.0,Personnel,25000.0,Tous_Risques,0.86,0,1322.43,0,0.0
POL-00140,40,Homme,Casablanca,Independant,20.0,Renault,-3.0,4.0,Personnel,25000.0,Tous_Risques,1.19,1,1279.61,0,0.0
POL-00141,41,Homme,Rabat,Independant,20.0,Fiat,19.0,6.0,Personnel,5000.0,Tous_Risques,0.86,2,1297.93,0,0.0
POL-00142,54,Femme,Casablanca,Employe,35.0,Hyundai,12.0,7.0,Domicile_Travail,15000.0,Tiers_Etendu,1.29,0,1145.4,0,0.0
POL-00143,52,Homme,Fes,Employe,30.0,Toyota,2.0,8.0,Professionnel,20000.0,Tous_Risques,0.59,1,1310.29,0,0.0
POL-00144,61,Femme,Casablanca,Employe,41.0,Dacia,0.0,8.0,Personnel,25000.0,RC,0.84,2,886.1,0,0.0
POL-00145,57,Homme,Marrakech,Cadre,36.0,Peugeot,3.0,12.0,Personnel,5000.0,RC,0.7,0,907.2,0,0.0
POL-00146,39,Femme,Oujda,Employe,18.0,Dacia,12.0,6.0,Personnel,25000.0,Tous_Risques,,0,1171.67,0,0.0
POL-00147,44,Homme,Agadir,Employe,25.0,Hyundai,,7.0,Domicile_Travail,20000.0,RC,0.76,0,948.77,0,0.0
POL-00148,52,Homme,Fes,Commercant,34.0,Ford,10.0,,Personnel,10000.0,RC,0.71,0,800.0,0,0.0
POL-00149,18,Homme,Rabat,Independant,,Fiat,1.0,7.0,Domicile_Travail,15000.0,Tous_Risques,1.2,0,1170.22,0,0.0
POL-00150,52,Femme,Fes,Employe,31.0,Peugeot,15.0,6.0,Professionnel,15000.0,Tous_Risques,,0,1551.15,0,0.0
POL-00151,54,Femme,Marrakech,Cadre,35.0,Peugeot,1.0,,Professionnel,20000.0,RC,0.93,0,1089.3,0,0.0
POL-00152,64,Homme,Rabat,Retraite,42.0,Fiat,18.0,9.0,Personnel,5000.0,Tous_Risques,0.76,4,1467.87,0,0.0
POL-00153,31,Homme,Casablanca,,10.0,Toyota,18.0,7.0,Domicile_Travail,10000.0,Tiers_Etendu,0.71,0,1048.31,0,0.0
POL-00154,20,Femme,Meknes,Independant,1.0,Dacia,15.0,8.0,Domicile_Travail,25000.0,Tiers_Etendu,1.0,0,1240.05,0,0.0
POL-00155,18,Homme,Rabat,Retraite,0.0,Peugeot,18.0,6.0,Personnel,10000.0,Tous_Risques,0.91,3,1406.43,1,659.75
POL-00156,22,Femme,Casablanca,Commercant,4.0,Renault,8.0,7.0,Domicile_Travail,10000.0,RC,0.82,0,865.09,0,0.0
POL-00157,43,Homme,Rabat,Retraite,22.0,Peugeot,0.0,8.0,Domicile_Travail,15000.0,RC,0.96,0,801.13,0,0.0
POL-00158,72,Homme,Rabat,Cadre,50.0,Peugeot,9.0,7.0,Personnel,20000.0,RC,1.03,1,936.31,0,0.0
POL-00159,31,Homme,Agadir,,11.0,Hyundai,18.0,12.0,Personnel,25000.0,Tiers_Etendu,,0,1323.97,0,0.0
POL-00160,56,Homme,Tanger,Employe,37.0,Renault,0.0,8.0,Personnel,15000.0,Tiers_Etendu,0.69,1,800.0,0,0.0
POL-00161,44,Femme,fes ,Cadre,23.0,Dacia,1.0,7.0,Domicile_Travail,,Tous_Risques,0.59,0,973.04,0,0.0
POL-00162,26,Homme,Casablanca,Cadre,6.0,Peugeot,15.0,9.0,Personnel,,Tous_Risques,0.9,0,1404.44,0,0.0
POL-00163,32,Homme,Rabat,Commercant,12.0,Volkswagen,11.0,6.0,Professionnel,10000.0,Tiers_Etendu,1.28,0,1291.97,0,0.0
POL-00164,32,Femme,Marrakech,,11.0,Hyundai,7.0,7.0,Domicile_Travail,,Tous_Risques,0.63,0,1103.34,0,0.0
POL-00165,43,Homme,Casablanca,Commercant,25.0,Renault,17.0,7.0,Domicile_Travail,15000.0,RC,1.07,1,1079.96,0,0.0
POL-00166,59,H,Casablanca,,40.0,Ford,1.0,7.0,Personnel,15000.0,RC,0.71,1,800.0,0,0.0
POL-00167,30,Femme,Tanger,Etudiant,11.0,Ford,12.0,9.0,Domicile_Travail,25000.0,Tous_Risques,,2,1370.92,0,0.0
POL-00168,68,Homme,Casablanca,Commercant,50.0,Dacia,5.0,7.0,Personnel,20000.0,RC,1.03,1,878.71,0,0.0
POL-00169,49,femme,Marrakech,Employe,28.0,Dacia,5.0,9.0,Personnel,15000.0,RC,0.8,0,892.65,0,0.0
POL-00170,56,Femme,Casablanca,Independant,37.0,Toyota,8.0,8.0,Domicile_Travail,10000.0,Tiers_Etendu,0.9,1,1024.39,0,0.0
POL-00171,66,Homme,Casablanca,Employe,45.0,Volkswagen,15.0,7.0,Personnel,,RC,,1,908.44,0,0.0
POL-00172,69,Homme,Casablanca,Employe,48.0,Fiat,10.0,9.0,Domicile_Travail,20000.0,Tous_Risques,0.72,1,1255.35,1,14082.29
POL-00173,49,Homme,Oujda,Retraite,29.0,Ford,6.0,6.0,Personnel,15000.0,RC,1.03,1,802.64,0,0.0
POL-00174,21,Femme,Agadir,Employe,3.0,Hyundai,9.0,6.0,Personnel,20000.0,RC,0.84,0,818.66,0,0.0
POL-00175,47,Homme,Oujda,Employe,26.0,Peugeot,9.0,7.0,Personnel,10000.0,RC,0.57,0,800.0,0,0.0
POL-00176,54,Homme,Marrakech,Etudiant,32.0,Dacia,19.0,6.0,Professionnel,20000.0,Tiers_Etendu,0.67,1,1318.12,0,0.0
POL-00177,40,Femme,Casablanca,Independant,,Renault,,4.0,Domicile_Travail,25000.0,RC,0.5,0,800.0,0,0.0
POL-00178,56,Femme,Marrakech,Cadre,37.0,Peugeot,19.0,8.0,Domicile_Travail,10000.0,Tiers_Etendu,0.86,0,1194.81,0,0.0
POL-00179,62,Homme,Rabat,Cadre,42.0,Hyundai,8.0,7.0,Personnel,,Tous_Risques,-1.0,1,1281.99,0,0.0
POL-00180,32,Homme,Agadir,Cadre,13.0,Hyundai,14.0,7.0,Personnel,40000.0,Tous_Risques,0.64,0,1288.16,1,634.26
POL-00181,60,Homme,Casablanca,Commercant,41.0,Toyota,3.0,11.0,Professionnel,15000.0,RC,0.97,0,1263.93,1,2527.46
POL-00182,46,Femme,Marrakech,Employe,28.0,Renault,7.0,8.0,Personnel,20000.0,Tiers_Etendu,0.94,0,1148.37,0,0.0
POL-00183,53,Homme,Casablanca,Cadre,34.0,Hyundai,8.0,9.0,Personnel,10000.0,Tiers_Etendu,,1,975.91,1,5150.14
POL-00184,30,Homme,Rabat,Retraite,9.0,Dacia,12.0,5.0,Domicile_Travail,20000.0,Tous_Risques,1.16,0,1259.34,0,0.0
POL-00185,49,Femme,Tanger,Commercant,30.0,Peugeot,8.0,8.0,Personnel,10000.0,Tous_Risques,0.8,1,1201.83,0,0.0
POL-00186,24,Femme,Rabat,Employe,4.0,Toyota,3.0,9.0,Domicile_Travail,30000.0,RC,1.25,0,998.52,1,893.16
POL-00187,68,Homme,Rabat,Commercant,48.0,Toyota,16.0,8.0,Domicile_Travail,20000.0,Tous_Risques,0.52,0,1281.46,0,0.0
POL-00188,39,Femme,Rabat,Independant,17.0,Fiat,15.0,8.0,Personnel,,RC,,0,955.85,0,0.0
